종목코드,시가총액,거래소,섹터
005930,468627930175000,KOSPI,기술
000660,103012334647500,KOSPI,기술
373220,100035000000000,KOSPI,산업
207940,54092240000000,KOSPI,필수소비재
005935,51265841410000,KOSPI,기술
005380,43046661471000,KOSPI,소비순환재
005490,42243329385000,KOSPI,소재
000270,40204420300000,KOSPI,소비순환재
035420,36379525056000,KOSPI,기술
051910,35225579157000,KOSPI,소재
006400,32456858160000,KOSPI,산업
068270,29500158155000,KOSPI,헬스케어
003670,27809295980000,KOSPI,소재
035720,24149879388000,KOSPI,기술
028260,24034121265000,KOSPI,산업
012330,22196257278000,KOSPI,소비순환재
105560,21829948995200,KOSPI,금융
055550,20697493188350,KOSPI,금융
066570,16659347465200,KOSPI,기술
096770,14121975629200,KOSPI,에너지
032830,13820000000000,KOSPI,금융
323410,13589858404500,KOSPI,금융
003550,13512155298700,KOSPI,산업
011200,13491393331680,KOSPI,산업
018260,13154226000000,KOSPI,기술
034730,13029302562000,KOSPI,에너지
450080,13003713593000,,
086790,12688276353200,KOSPI,금융
000810,12459582131000,KOSPI,금융
015760,12133121055300,KOSPI,에너지
138040,12019291937400,KOSPI,금융
033780,11629174989300,KOSPI,유틸리티
329180,11451731964000,KOSPI,산업
009150,11443074227200,KOSPI,기술
047050,10977581971200,KOSPI,산업
017670,10963540514400,KOSPI,기술
010130,10412476824000,KOSPI,소재
034020,10184922221400,KOSPI,산업
316140,9775342993000,KOSPI,금융
352820,9725764649500,KOSPI,소비순환재
024110,9457470806340,KOSPI,금융
259960,9363027044800,KOSPI,기술
030200,8870410144000,KOSPI,기술
003490,8800473797900,KOSPI,산업
009540,8556469724400,KOSPI,산업
090430,8481450055000,KOSPI,필수소비재
326030,7862650300000,KOSPI,헬스케어
010950,7835762323200,KOSPI,에너지
042660,7689608364900,KOSPI,산업
454910,7525599678000,KOSPI,산업
402340,7310402493600,KOSPI,금융
086280,7181250000000,KOSPI,산업
010140,6820000000000,KOSPI,산업
009830,6789755172000,KOSPI,에너지
377300,6619267753800,KOSPI,기술
011170,6553194190800,KOSPI,소재
001570,6339064040400,KOSPI,소재
012450,6303435000000,KOSPI,산업
042700,6005834933400,KOSPI,기술
005830,5925960000000,KOSPI,금융
307950,5800172193000,KOSPI,기술
028050,5684000000000,KOSPI,산업
011070,5668272126500,KOSPI,기술
361610,5625380008800,KOSPI,산업
161390,5623928132600,KOSPI,소비순환재
051900,5544459935000,KOSPI,필수소비재
302440,5528451312000,KOSPI,헬스케어
088980,5421120056200,KOSPI,금융
036570,5279942291000,KOSPI,기술
000100,5272739601600,KOSPI,헬스케어
241560,5052557966400,KOSPI,산업
267250,5000262280500,KOSPI,에너지
251270,4993898466200,KOSPI,기술
097950,4877556264000,KOSPI,필수소비재
047810,4873755350000,KOSPI,산업
004020,4870771152500,KOSPI,소재
180640,4860293911200,KOSPI,산업
005070,4788834358800,KOSPI,소재
006800,4618564193040,KOSPI,금융
271560,4590144925200,KOSPI,필수소비재
034220,4558572018000,KOSPI,기술
032640,4466534223030,KOSPI,기술
128940,4428160695000,KOSPI,헬스케어
021240,4221338206800,KOSPI,소비순환재
005387,4124972177400,KOSPI,소비순환재
018880,3891402000000,KOSPI,소비순환재
000720,3886316198500,KOSPI,산업
078930,3800238960200,KOSPI,유틸리티
011780,3793986539100,KOSPI,소비순환재
029780,3748035123850,KOSPI,금융
016360,3438050000000,KOSPI,금융
011790,3430867798800,KOSPI,소재
005940,3426108963930,KOSPI,금융
035250,3423048000000,KOSPI,소비순환재
383220,3416991090000,KOSPI,소비순환재
071050,3416003309600,KOSPI,금융
010620,3391088450100,KOSPI,산업
272210,3279640593040,KOSPI,산업
006260,3001040000000,KOSPI,산업
267260,2963074497000,KOSPI,산업
112610,2960432490600,KOSPI,에너지
064350,2903184993800,KOSPI,산업
000120,2901730156800,KOSPI,산업
079550,2871000000000,KOSPI,산업
003410,2867507566000,KOSPI,소재
004990,2837794860850,KOSPI,소비순환재
001450,2771400000000,KOSPI,금융
001040,2754308611200,KOSPI,필수소비재
008930,2742312048000,KOSPI,헬스케어
005385,2736839006500,KOSPI,소비순환재
039490,2609557247000,KOSPI,금융
000990,2601757256800,KOSPI,기술
014680,2573089265000,KOSPI,소재
008770,2566827113400,KOSPI,산업
004370,2475635294000,KOSPI,필수소비재
088350,2457939900000,KOSPI,금융
007070,2413748102100,KOSPI,필수소비재
002790,2411901765000,KOSPI,필수소비재
051915,2391216800000,KOSPI,소재
052690,2373462000000,KOSPI,산업
081660,2351110991400,KOSPI,소비순환재
009420,2314260263400,KOSPI,헬스케어
138930,2299711447320,KOSPI,금융
036460,2280131100000,KOSPI,유틸리티
012750,2279950680000,KOSPI,기술
282330,2269376857800,KOSPI,필수소비재
175330,2243635162660,KOSPI,금융
010120,2196000000000,KOSPI,산업
030000,2189234511750,KOSPI,소비순환재
139480,2135287735400,KOSPI,필수소비재
023530,2121656625000,KOSPI,소비순환재
010060,2104110333000,KOSPI,소재
002380,2030558623500,KOSPI,소재
111770,2020602940800,KOSPI,소비순환재
028670,1996617127320,KOSPI,산업
020150,1938960611750,KOSPI,기술
000880,1930187426250,KOSPI,금융
007660,1862607039550,KOSPI,기술
204320,1847762672000,KOSPI,소비순환재
026960,1814540000000,KOSPI,필수소비재
298050,1789739226000,KOSPI,소비순환재
011210,1770399903300,KOSPI,소비순환재
017800,1733747274750,KOSPI,산업
004170,1724875711200,KOSPI,소비순환재
047040,1722755834510,KOSPI,산업
017860,1693945756000,KOSPI,에너지
005850,1658212164000,KOSPI,소비순환재
185750,1645211937600,KOSPI,헬스케어
003230,1627131240000,KOSPI,필수소비재
