종목명,기호,종가,변동 %,시가 총액,거래량,섹터
KB금융,105560,64.00K,1.43%,23.89T,1.29M,금융
신한지주,055550,41.90K,3.33%,20.66T,1.78M,금융
하나금융지주,086790,53.50K,2.29%,15.06T,983.45K,금융
삼성생명,032830,78.00K,0.00%,14.01T,240.02K,금융
메리츠금융지주,138040,76.30K,4.38%,13.13T,364.94K,금융
삼성화재 우선주,000815,225.00K,0.22%,11.63T,4.41K,금융
삼성화재,000810,277.00K,0.00%,11.63T,70.64K,금융
카카오뱅크,323410,24.05K,3.66%,11.06T,572.21K,금융
SK스퀘어,402340,83.70K,6.22%,10.61T,482.45K,금융
기업은행,024110,13.28K,3.75%,10.21T,1.26M,금융
우리금융지주,316140,13.50K,2.51%,9.78T,1.61M,금융
맥쿼리인프라,088980,12.58K,0.72%,5.44T,651.16K,금융
DB손해보험,005830,88.80K,0.79%,5.29T,113.84K,금융
삼성카드,029780,35.80K,-1.51%,3.88T,49.81K,금융
NH 투자증권 우,005945,10.45K,1.46%,3.79T,23.78K,금융
미래에셋대우2우b,00680K,3.52K,0.57%,3.79T,75.30K,금융
미래에셋우,006805,3.93K,0.38%,3.79T,108.42K,금융
NH투자증권,005940,11.34K,3.18%,3.79T,655.74K,금융
미래에셋증권,006800,7.30K,0.69%,3.79T,345.31K,금융
한국금융우,071055,44.20K,1.03%,3.46T,6.01K,금융
한국금융지주,071050,61.80K,1.48%,3.46T,69.27K,금융
키움증권,039490,126.40K,6.13%,3.25T,76.07K,금융
삼성증권,016360,36.00K,0.00%,3.21T,323.69K,금융
BNK금융지주,138930,7.82K,0.90%,2.50T,716.08K,금융
현대해상,001450,29.35K,0.34%,2.29T,270.94K,금융
JB금융지주,175330,12.09K,1.00%,2.27T,226.61K,금융
한화생명,088350,2.63K,0.38%,1.97T,1.26M,금융
한화3우B,00088K,14.79K,0.27%,1.92T,57.74K,금융
한화우,000885,31.35K,-4.71%,1.92T,911.00,금융
한화,000880,26.25K,1.55%,1.92T,212.68K,금융
DGB금융지주,139130,8.12K,-0.25%,1.35T,513.47K,금융
코리안리,003690,7.81K,1.43%,1.13T,209.10K,금융
롯데손해보험,000400,3.19K,1.59%,972.15B,2.52M,금융
대신증권2우B,003547,13.62K,0.89%,953.82B,12.36K,금융
대신증권우,003545,14.08K,0.72%,953.82B,26.32K,금융
대신증권,003540,14.58K,1.25%,953.82B,44.59K,금융
다우기술,023590,18.50K,2.27%,780.60B,70.50K,금융
동양생명,082640,4.93K,0.41%,766.20B,128.17K,금융
한화투자증권우,003535,7.93K,-1.61%,761.01B,17.09K,금융
한화투자증권,003530,3.42K,0.44%,761.01B,1.41M,금융
미래에셋생명,085620,4.96K,1.75%,635.44B,73.94K,금융
교보증권,030610,4.83K,0.52%,541.77B,26.29K,금융
유안타우,003475,2.76K,1.28%,538.77B,4.53K,금융
유안타증권,003470,2.67K,2.10%,538.77B,113.05K,금융
LX홀딩스,383800,6.75K,-0.15%,515.35B,61.13K,금융
LX홀딩스1우,38380K,9.00K,0.22%,515.35B,1.91K,금융
제주은행,006220,14.75K,-4.35%,495.43B,4.81M,금융
신영증권우,001725,63.80K,0.00%,493.34B,0.00,금융
신영증권,001720,64.10K,1.26%,493.34B,4.51K,금융
한화손해보험,000370,4.38K,4.40%,489.81B,704.36K,금융
유진투자증권,001200,4.29K,-5.81%,418.79B,2.52M,금융
스틱인베스트먼트,026890,8.35K,0.72%,303.18B,91.11K,금융
현대차증권,001500,8.48K,0.71%,267.02B,7.36K,금융
SK증권,001510,594.00,1.02%,243.38B,929.61K,금융
SK증권우,001515,2.04K,-0.24%,243.38B,9.02K,금융
흥국화재,000540,3.79K,1.74%,239.63B,176.91K,금융
흥국화재우,000545,6.71K,3.23%,239.63B,15.57K,금융
대덕,008060,6.16K,-0.16%,217.77B,25.37K,금융
부국증권,001270,23.45K,3.08%,195.28B,1.95K,금융
부국증권우,001275,20.30K,0.00%,195.28B,233.00,금융
다올투자증권,030210,3.12K,2.30%,180.17B,47.59K,금융
진양홀딩스,100250,3.21K,0.00%,171.53B,20.38K,금융
DB금융투자,016610,4.00K,0.13%,162.91B,43.06K,금융
한양증권,001750,10.18K,0.99%,128.30B,6.54K,금융
한양증권우,001755,12.96K,-0.84%,128.30B,579.00,금융
유화증권,003460,2.23K,0.22%,104.03B,2.12K,금융
유화증권우,003465,2.23K,-0.45%,104.03B,786.00,금융
에이플러스에셋,244920,3.79K,0.40%,85.46B,12.51K,금융
상상인증권,001290,696.00,0.87%,73.32B,159.04K,금융
한국패러랠,168490,251.00,-1.57%,20.41B,1.26M,금융
TIGER 차이나CSI300레버리지,204480,15.28K,-0.33%,-,37.77K,금융
한국ANKOR유전,152550,374.00,-0.80%,-,3.25M,금융
삼성전자우,005935,66.30K,0.00%,525.57T,947.79K,기술
삼성전자,005930,79.60K,0.89%,525.57T,19.79M,기술
SK하이닉스,000660,182.30K,2.01%,122.97T,4.10M,기술
NAVER,035420,180.70K,0.61%,27.34T,595.68K,기술
카카오,035720,49.10K,4.69%,20.57T,2.25M,기술
LG전자,066570,92.60K,1.76%,15.55T,328.10K,기술
LG전자우,066575,42.90K,1.78%,15.55T,29.27K,기술
한미반도체,042700,142.60K,4.62%,13.20T,2.18M,기술
크래프톤,259960,260.00K,2.77%,11.69T,126.37K,기술
삼성SDS,018260,149.60K,2.89%,11.25T,141.40K,기술
삼성전기,009150,146.70K,-0.61%,10.93T,401.78K,기술
삼성전기우,009155,71.50K,0.14%,10.93T,3.25K,기술
SK텔레콤,017670,50.70K,0.80%,10.68T,258.86K,기술
KT,030200,33.65K,0.15%,8.26T,589.74K,기술
포스코DX,022100,40.10K,3.62%,5.88T,1.21M,기술
LG디스플레이,034220,10.05K,2.34%,4.91T,1.17M,기술
넷마블,251270,56.10K,2.94%,4.47T,82.14K,기술
카카오페이,377300,33.75K,3.21%,4.40T,282.64K,기술
LG이노텍,011070,186.60K,1.36%,4.36T,110.77K,기술
LG유플러스,032640,9.68K,1.36%,4.10T,749.42K,기술
현대오토에버,307950,138.30K,1.47%,3.74T,78.99K,기술
엔씨소프트,036570,168.80K,0.42%,3.41T,86.79K,기술
이수페타시스,007660,39.05K,6.11%,2.33T,1.91M,기술
에스원,012750,60.20K,-0.99%,2.06T,25.54K,기술
롯데에너지머티리얼즈,020150,42.00K,3.32%,1.87T,192.33K,기술
DB하이텍,000990,41.95K,0.60%,1.74T,173.14K,기술
더존비즈온,012510,56.90K,4.02%,1.51T,480.33K,기술
솔루스첨단소재,336370,19.27K,3.88%,1.38T,6.24M,기술
솔루스첨단소재1우,33637K,3.60K,0.56%,1.38T,434.72K,기술
솔루스첨단소재2우B,33637L,7.10K,-2.07%,1.38T,613.41K,기술
LX세미콘,108320,76.80K,0.52%,1.24T,66.18K,기술
솔루엠,248070,25.30K,1.40%,1.22T,195.52K,기술
대덕전자,353200,24.00K,2.56%,1.18T,283.14K,기술
SK네트웍스,001740,5.47K,1.11%,1.12T,324.86K,기술
해성디에스,195870,49.50K,1.23%,831.30B,62.36K,기술
케이씨텍,281820,39.10K,-1.26%,826.12B,245.78K,기술
더블유게임즈,192080,40.65K,-0.12%,793.56B,25.41K,기술
NHN,181710,22.35K,1.59%,742.85B,36.05K,기술
영풍,000670,392.50K,0.26%,673.43B,1.37K,기술
드림텍,192650,9.47K,1.94%,635.27B,285.31K,기술
디아이,003160,24.30K,20.00%,524.41B,11.40M,기술
자화전자,033240,24.80K,2.06%,512.36B,53.44K,기술
비에이치,090460,16.24K,0.68%,510.93B,138.69K,기술
롯데정보통신,286940,33.85K,1.80%,503.05B,78.24K,기술
삼화콘덴서,001820,44.20K,1.49%,446.87B,312.64K,기술
NICE,034310,12.54K,0.08%,445.25B,17.95K,기술
엠씨넥스,097520,23.60K,1.51%,409.61B,25.74K,기술
코리아써키트,007810,16.44K,2.11%,405.03B,90.29K,기술
코리아써우,007815,6.70K,2.60%,405.03B,4.39K,기술
신도리코,029530,36.45K,2.24%,307.40B,10.39K,기술
DB,012030,1.47K,-0.14%,281.39B,174.31K,기술
KEC,092220,1.34K,1.98%,263.60B,464.17K,기술
아이마켓코리아,122900,8.36K,0.36%,262.10B,19.46K,기술
삼화전기,009470,39.70K,2.45%,256.29B,456.58K,기술
삼영전자,005680,9.90K,0.41%,197.20B,60.64K,기술
HDC랩스,039570,8.30K,-0.24%,191.15B,5.30K,기술
한솔테크닉스,004710,5.56K,0.91%,173.11B,76.60K,기술
유니퀘스트,077500,7.10K,2.90%,172.36B,96.21K,기술
아시아나IDT,267850,15.87K,3.32%,170.50B,21.37K,기술
키다리스튜디오,020120,4.49K,0.90%,164.67B,68.34K,기술
아남전자,008700,1.87K,1.57%,142.06B,269.60K,기술
신세계I&C,035510,10.97K,1.57%,141.97B,14.02K,기술
인스코비,006490,1.17K,0.17%,135.01B,121.41K,기술
와이투솔루션,011690,3.60K,-0.83%,132.74B,236.06K,기술
KH 필룩스,033180,1.33K,0.00%,120.55B,0.00,기술
휴니드,005870,7.36K,-2.77%,104.31B,300.06K,기술
광전자,017900,2.11K,1.93%,104.25B,122.71K,기술
콤텍시스템,031820,681.00,1.19%,81.47B,185.45K,기술
써니전자,004770,2.00K,0.10%,73.26B,2.06M,기술
미래산업,025560,2.32K,3.11%,68.42B,415.95K,기술
삼화전자,011230,4.04K,3.07%,66.16B,117.28K,기술
씨아이테크,004920,1.18K,-1.50%,60.03B,461.75K,기술
남성,004270,1.83K,0.22%,57.26B,13.65K,기술
일진디스플,020760,1.07K,0.09%,54.95B,25.52K,기술
텔코웨어,078000,10.19K,0.39%,54.77B,6.54K,기술
에이엔피,015260,1.10K,0.27%,49.15B,88.26K,기술
유엔젤,072130,3.41K,2.25%,39.87B,23.13K,기술
