종목명,기호,종가,변동 %,시가 총액,거래량
"삼성전자우","005935","66.40K","0.15%","525.57T","681.11K"
"삼성전자","005930","79.70K","1.01%","525.57T","16.69M"
"SK하이닉스","000660","181.70K","1.68%","122.97T","3.36M"
"LG엔솔","373220","378.00K","3.70%","85.29T","140.35K"
"삼성바이오로직스","207940","795.00K","2.45%","55.23T","26.04K"
"현대차우","005385","145.30K","0.48%","50.27T","41.48K"
"현대차2우B","005387","145.80K","0.28%","50.27T","96.46K"
"현대차","005380","233.50K","0.00%","50.27T","943.32K"
"현대차3우B","005389","143.30K","0.07%","50.27T","15.86K"
"기아","000270","112.90K","-0.18%","44.81T","1.37M"
"셀트리온","068270","177.30K","3.68%","35.44T","390.43K"
"LG 화학","051915","249.50K","3.31%","28.36T","17.64K"
"LG화학","051910","378.50K","0.80%","28.36T","203.06K"
"POSCO홀딩스","005490","389.50K","4.99%","28.15T","613.10K"
"NAVER","035420","181.10K","0.84%","27.34T","488.02K"
"삼성SDI","006400","404.00K","4.66%","25.58T","249.47K"
"삼성SDI우","006405","232.50K","4.03%","25.58T","2.06K"
"KB금융","105560","64.60K","2.38%","23.89T","991.32K"
"삼성물산","028260","140.70K","1.37%","22.66T","186.35K"
"삼성물산우B","02826K","103.00K","1.08%","22.66T","960.00"
"현대모비스","012330","235.50K","0.43%","21.26T","131.91K"
"신한지주","055550","42.15K","3.95%","20.66T","1.36M"
"카카오","035720","50.00K","6.61%","20.57T","2.05M"
"포스코퓨처엠","003670","258.50K","3.82%","19.28T","329.27K"
"LG전자","066570","93.20K","2.42%","15.55T","260.20K"
"LG전자우","066575","42.55K","0.95%","15.55T","26.89K"
"하나금융지주","086790","53.80K","2.87%","15.06T","761.95K"
"삼성생명","032830","78.40K","0.51%","14.01T","194.32K"
"한미반도체","042700","140.80K","3.30%","13.20T","1.89M"
"메리츠금융지주","138040","76.80K","5.06%","13.13T","295.60K"
"한국전력","015760","20.50K","3.69%","12.69T","1.63M"
"LG","003550","76.30K","0.26%","11.82T","368.62K"
"LG우","003555","59.00K","0.34%","11.82T","8.19K"
"크래프톤","259960","260.00K","2.77%","11.69T","114.50K"
"삼성화재","000810","278.00K","0.36%","11.63T","47.11K"
"삼성화재 우선주","000815","225.00K","0.22%","11.63T","4.39K"
