종목명,기호,종가,변동 %,시가 총액,거래량
"트랜스코드 테라","RNAZ","0.50","-1.96%","2.91M","278.73K"
"Cartesian Therapeutics","RNAC","18.50","-1.44%","328.93M","46.65K"
"어비디티 바이오사이언스","RNA","23.55","-1.51%","2.25B","687.21K"
"락웰 메디컬","RMTI","1.48","-0.67%","43.46M","155.00K"
"RMR Group Inc","RMR","23.25","0.00%","737.23M","68.44K"
"Rimini Street","RMNI","2.94","1.38%","264.26M","264.60K"
"RMG Acquisition","RMGCU","9.94","0.00%","126.98M","0.00"
"RMG Acquisition","RMGC","9.99","0.10%","126.98M","163.00"
"Royalty Management Holding","RMCO","0.96","2.53%","13.75M","72.60K"
"Rocky Mountain Ch","RMCF","3.51","-1.40%","22.29M","3.75K"
"Rambus Inc","RMBS","57.25","-2.50%","6.18B","1.23M"
"RumbleON","RMBL","5.31","-4.50%","186.93M","52.01K"
"Richmond Mutual Bancorporation","RMBI","11.72","0.34%","118.44M","7.16K"
"Rallybio","RLYB","1.76","-2.22%","72.95M","517.85K"
"RoyaLand","RLND","-","%","-","-"
"Relmada Therapeutics","RLMD","4.68","2.63%","141.22M","85.11K"
"릴레이 테라퓨틱스","RLAY","6.21","-7.86%","814.62M","1.90M"
"Rocket Lab USA","RKLB","3.57","0.28%","1.75B","4.27M"
"Arcadia Biosciences","RKDA","2.03","5.72%","2.77M","67.08K"
"리비안","RIVN","8.74","0.34%","8.54B","32.35M"
"Riot Platforms","RIOT","7.97","-1.12%","2.02B","17.03M"
"B. Riley Financial","RILYN","18.61","0.54%","625.73M","7.66K"
"B. Riley Fin","RILYL","19.28","-0.16%","625.73M","1.75K"
"B. 라일리 파이낸셜","RILY","20.46","-2.20%","625.73M","280.30K"
"Rigel Pharma","RIGL","1.11","-2.63%","194.67M","509.33K"
"RCI Hospitality","RICK","50.08","-1.65%","468.73M","59.45K"
"Rigetti Computing","RGTI","1.18","-2.48%","196.39M","5.56M"
"Regis Corp","RGS","5.70","-3.39%","12.99M","11.17K"
"Res Connect","RGP","11.01","-1.78%","372.22M","216.61K"
"Regenxbio Inc","RGNX","17.03","-2.69%","835.20M","413.62K"
"Regulus Therapeutics","RGLS","2.34","-8.59%","153.19M","293.50K"
"Royal Gold Inc","RGLD","123.00","1.61%","8.09B","627.88K"
"Real Good Food","RGF","0.32","-8.20%","10.78M","654.59K"
"Repligen Corp","RGEN","160.98","-1.94%","8.99B","507.63K"
"RGC Resources Inc","RGCO","19.27","0.52%","195.85M","4.70K"
"Regencell Bioscience Holdings","RGC","4.74","36.21%","61.65M","8.53K"
"RF Industries","RFIL","3.03","-0.66%","31.80M","4.93K"
"Rf Acquisition Unt","RFACU","10.82","0.00%","78.22M","0.00"
"RF Acquisition","RFAC","10.89","0.00%","78.22M","0.00"
"Reynolds","REYN","28.06","-0.36%","5.90B","356.73K"
"Revelation Biosciences","REVB","2.15","12.57%","3.51M","112.39K"
"ReTo Eco-Solutions","RETO","0.95","-26.92%","3.67M","328.68K"
"레플리뮨","REPL","7.21","0.84%","442.61M","1.09M"
"Rent the Runway","RENT","12.40","-1.35%","45.54M","551.24K"
"Cartesian Growth II","RENEU","12.05","0.00%","241.72M","0.00"
"Cartesian Growth","RENE","11.18","0.09%","241.72M","54.26K"
"Renovaro Biosciences","RENB","2.22","-8.26%","318.94M","157.15K"
"Remitly Global","RELY","18.59","1.86%","3.50B","759.21K"
"Richardson Elec","RELL","9.86","-0.40%","140.79M","95.86K"
"Reliance Global","RELI","0.31","-0.26%","1.76M","177.44K"
"Rekor Systems","REKR","1.85","-1.07%","157.85M","886.69K"
"리제네론 파마슈티컬스","REGN","901.19","0.79%","96.84B","445.74K"
"Regency Centers Prf k","REGCP","23.03","0.09%","-","5.46K"
"Regency Centers Prf k","REGCO","22.38","1.73%","-","2.24K"
"리젠시 센터","REG","57.29","0.54%","10.62B","900.65K"
"Research Frontier","REFR","1.64","5.81%","54.96M","68.24K"
"Chicago Atlantic Real Estate Finance","REFI","15.31","0.20%","278.60M","103.45K"
"Ree Automotive Holding","REE","4.08","11.78%","44.18M","22.92K"
"Reborn Coffee","REBN","1.31","7.82%","3.56M","186.62K"
"Real Brokerage","REAX","3.36","-9.92%","622.53M","882.19K"
"TheRealReal","REAL","3.16","-1.25%","330.83M","1.08M"
"American Century RE","REAIX","22.53","-1.23%","30.35M","0.00"
"Roadzen","RDZN","5.50","0.00%","376.42M","15.31K"
"Radware","RDWR","16.14","-1.16%","674.44M","164.22K"
"Red Violet","RDVT","18.07","-0.77%","248.72M","19.71K"
"Radius Recycling","RDUS","18.22","4.53%","509.83M","255.79K"
"RadNet","RDNT","47.80","-0.19%","3.52B","395.07K"
"Reading International (B)","RDIB","14.52","3.27%","61.39M","386.00"
"Reading Intl","RDI","1.75","1.16%","61.39M","2.75K"
"Redhill ADR","RDHL","0.39","0.60%","12.28M","239.01K"
"Redfin","RDFN","5.28","-6.55%","629.60M","4.69M"
"Radcom Ltd","RDCM","9.21","-2.75%","142.49M","22.05K"
"Recruiter.Com Group","RCRT","1.56","9.86%","2.28M","16.18K"
"레콘 테크","RCON","0.10","-8.20%","14.82M","1.10M"
"RCM Technologies","RCMT","18.71","-2.35%","148.55M","55.91K"
"R1 RCM","RCM","12.15","-0.49%","5.11B","1.25M"
"Rocky Brands","RCKY","26.61","1.72%","197.25M","13.26K"
"Rocket Pharma","RCKT","23.68","-2.35%","2.14B","640.27K"
"Avita Medical","RCEL","9.38","-3.30%","49.08M","223.72K"
"Red Cat Holdings","RCAT","1.42","26.79%","105.48M","3.71M"
"Rhinebeck","RBKB","7.55","-1.31%","82.95M","302.00"
"Republic BCorp","RBCAA","47.31","0.64%","917.95M","12.05K"
"Ribbon Com","RBBN","2.57","-1.53%","443.88M","325.78K"
"RBB Bancorp","RBB","16.65","-0.72%","310.05M","29.48K"
"Erayak Power Solution","RAYA","0.60","0.00%","7.20M","12.00K"
"Rave Restaurant","RAVE","2.04","-3.32%","29.98M","41.24K"
"울트라제닉스 파마슈티컬","RARE","44.11","4.25%","3.63B","863.94K"
"RAPT Therapeutics","RAPT","8.04","-1.11%","279.79M","700.62K"
"Rani Therapeutics Holdings","RANI","7.85","14.26%","393.73M","1.40M"
"Rand Capital Corp","RAND","13.83","0.51%","35.70M","194.00"
"FreightCar Amer","RAIL","3.57","-1.92%","65.49M","21.83K"
"Relativity Acquisition Unt","RACYU","12.99","0.00%","54.04M","0.00"
"Relativity Acquisition","RACY","12.28","0.00%","54.04M","0.00"
"Uniqure NV","QURE","4.67","-0.64%","226.46M","520.08K"
"QuickLogic Corp","QUIK","12.48","-1.81%","179.43M","217.51K"
"Quantum","QUBT","0.80","1.75%","72.72M","623.76K"
"Q32 Bio","QTTB","24.12","-3.48%","287.74M","29.37K"
"Quanterix","QTRX","15.75","-1.19%","602.39M","425.54K"
"QT Imaging Holdings","QTI","0.75","-11.76%","16.06M","285.37K"
"QuantumSi","QSI","1.53","-6.71%","216.91M","567.57K"
"QuantaSing ADR","QSG","3.52","7.65%","198.83M","266.17K"
"코르보","QRVO","109.95","-1.08%","10.62B","1.38M"
"Qurate Retail","QRTEP","42.10","-4.88%","411.48M","81.35K"
"Qurate Retail B","QRTEB","4.10","2.50%","411.48M","439.00"
"Qurate Retail A","QRTEA","0.98","-2.86%","411.48M","2.16M"
"Quest Resource","QRHC","8.97","1.47%","180.94M","25.49K"
"Nuveen NASDAQ 100 Dynamic Overwrite","QQQX","23.00","-0.43%","1.12B","87.99K"
"Qomolangma Acquisition  Unt","QOMOU","10.72","0.00%","38.65M","0.00"
"Qomolangma Acquisition","QOMO","10.81","-1.55%","38.65M","246.00"
"QuinStreet","QNST","16.44","-2.89%","902.40M","388.56K"
"Quoin Pharmaceuticals DRC","QNRX","0.73","1.82%","2.70M","37.00K"
"Quince Therapeutics","QNCX","1.00","0.51%","43.22M","107.93K"
"Quantum Corp","QMCO","0.41","0.84%","38.97M","85.40K"
"Qualys Inc","QLYS","162.75","-1.04%","6.02B","534.34K"
"퀼리안 인터네셔널","QLI","0.89","27.33%","31.86M","107.82K"
"Qualigen Therapeutics","QLGN","0.30","-0.80%","1.88M","47.89K"
"QIWI","QIWI","5.67","0.00%","355.58M","0.00"
"Quipt Home Medical","QIPT","3.61","-2.70%","153.85M","246.21K"
"취후오","QH","0.64","7.94%","5.98M","199.99K"
"Qifu Tech DRC","QFIN","17.84","-0.22%","2.88B","790.83K"
"Quetta Acquisition Unt","QETAU","10.27","0.00%","91.53M","0.00"
"Quetta Acquisition","QETA","10.23","0.00%","91.53M","1.44K"
"Quadro Acquisition One  Unt","QDROU","10.95","0.00%","97.13M","0.00"
"Quadro Acquisition One","QDRO","11.04","-0.09%","97.13M","3.86K"
"Quidel Corp","QDEL","38.71","-3.95%","2.59B","590.12K"
"QCR Holdings","QCRH","54.68","-0.36%","918.61M","35.30K"
"퀄컴","QCOM","164.21","-2.59%","183.52B","6.10M"
"파파존스 인터내셔널","PZZA","60.95","-1.28%","2.01B","465.35K"
"Pyxis Oncology","PYXS","4.83","2.99%","280.78M","573.29K"
"페이팔 홀딩스","PYPL","63.26","-0.27%","66.59B","7.85M"
"폴리피드","PYPD","4.44","-6.33%","21.30M","1.05K"
"Paycor HCM","PYCR","17.01","-0.29%","3.03B","616.93K"
"Pyxis Tankers","PXSAP","24.50","-1.21%","48.50M","1.25K"
"Pyxis Tankers Inc","PXS","4.60","-0.22%","48.50M","9.31K"
"팩스메디카","PXMD","0.80","21.20%","5.97M","2.95M"
"Pixelworks","PXLW","1.68","-6.41%","97.10M","277.57K"
"Pixie Dust Technologies ADR","PXDT","2.59","-0.38%","38.08M","3.60K"
"PowerUp Acquisition Unt","PWUPU","11.01","0.00%","99.98M","0.00"
"PowerUp Acquisition","PWUP","11.12","0.00%","99.98M","7.98K"
"Perella Weinberg Partners","PWP","15.14","-0.07%","1.43B","165.91K"
"Penns Woods","PWOD","17.42","-0.57%","130.89M","21.23K"
"Prestige Wealth","PWM","1.09","-2.68%","9.97M","125.02K"
"I.D. Systems","PWFL","4.05","-0.25%","432.24M","306.21K"
"Provident Bancorp Inc","PVBC","7.76","-0.13%","135.82M","63.39K"
"Puyi ADR","PUYI","8.97","0.00%","2.24B","0.00"
"Pulmatrix","PULM","2.07","-2.82%","7.63M","3.68K"
"Goal Acquisitions","PUCKU","11.27","4.35%","97.33M","2.13K"
"Goal Acquisitions","PUCK","10.80","0.00%","90.62M","0.00"
"퍼브매틱 ","PUBM","21.57","-0.74%","1.08B","254.50K"
"Pono Capital Two Unt","PTWOU","12.90","0.00%","-","0.00"
"Pono Capital Two","PTWO","12.52","4.42%","65.31M","4.15K"
"팩티브 ","PTVE","14.24","-2.47%","2.54B","286.45K"
"P.A.M. Transportation","PTSI","14.36","-1.10%","316.42M","23.53K"
"Petros Pharmaceuticals","PTPI","0.69","-2.13%","4.74M","457.18K"
"펠로톤","PTON","3.09","-0.32%","1.13B","12.86M"
"Portman Ridge Finance","PTMN","19.16","0.74%","178.28M","8.80K"
"Portillo's","PTLO","12.12","-6.26%","886.25M","1.26M"
"Protagonist Therapeutics","PTGX","25.57","-2.07%","1.49B","517.23K"
"패터슨-UTI","PTEN","11.22","-0.97%","4.52B","3.78M"
"PTC Therapeutics","PTCT","25.16","-0.51%","1.93B","628.17K"
"Parametric Tech","PTC","177.48","-0.64%","21.22B","748.80K"
"Pintec Tech","PT","1.06","-0.47%","16.98M","2.23K"
"포세이다 테라퓨틱스","PSTX","2.04","0.49%","196.84M","976.89K"
"Plus Therapeutics","PSTV","1.79","0.56%","7.55M","27.84K"
"Polestar Automotive Holding Uk Plc ADR","PSNYW","0.15","-6.25%","2.76B","129.93K"
"Polestar Automotive Holding A","PSNY","1.31","0.38%","2.76B","1.53M"
"Personalis","PSNL","1.20","-3.23%","61.45M","359.70K"
"PriceSmart","PSMT","79.39","1.52%","2.41B","167.20K"
"Performance Shipping","PSHG","2.10","-2.55%","25.85M","57.53K"
"Prospect Cptl","PSEC","5.42","0.74%","2.25B","1.27M"
"Parazero Technologies Unt","PRZO","0.82","-5.11%","8.81M","1.70M"
"프리비아 헬스","PRVA","17.85","0.90%","2.12B","955.80K"
"CarpParts.Com","PRTS","1.31","-1.50%","74.20M","859.58K"
"Priority Tech","PRTH","3.16","0.96%","239.51M","6.27K"
"Portage Biotech Inc","PRTG","0.22","-21.28%","4.38M","269.86K"
"PureTech Health","PRTC","26.94","2.05%","704.11M","331.00"
"Prothena Corp","PRTA","21.00","-1.59%","1.13B","433.58K"
"Presto Automation","PRST","0.17","-1.79%","16.17M","489.39K"
"Peraso","PRSO","1.56","1.30%","3.72M","1.58M"
"ProQR Therapeutics NV","PRQR","1.90","-5.00%","154.57M","197.86K"
"Precipio","PRPO","6.77","0.59%","9.59M","815.00"
"Purple Innovation","PRPL","1.52","-2.88%","162.96M","285.39K"
"프로페이즈","PRPH","6.27","-14.69%","113.14M","82.44K"
"Provident","PROV","13.36","-0.22%","92.54M","2.86K"
"Prairie Operating","PROP","15.25","2.42%","152.95M","253.98K"
"ProKidney","PROK","2.84","4.41%","651.34M","3.43M"
"프로파운드 메디컬","PROF","7.81","0.00%","189.84M","7.52K"
"Procaps","PROC","2.78","4.12%","302.37M","2.69K"
"Prime Medicine","PRME","4.93","-6.45%","567.95M","652.44K"
"Pearl Holdings Acquisition  Unt","PRLHU","10.66","0.00%","274.50M","0.00"
"Pearl Holdings Acquisition","PRLH","10.98","0.27%","274.50M","162.00"
"Prelude","PRLD","4.18","-14.87%","229.46M","68.93K"
"Progress SWare","PRGS","50.59","-0.26%","2.19B","590.29K"
"패인리폼","PRFX","0.89","10.12%","1.57M","569.47K"
"Perficient","PRFT","44.58","-3.61%","1.56B","212.96K"
"Prenetics Global","PRE","3.15","-1.87%","37.86M","77.28K"
"Perdoceo Education","PRDO","16.84","-0.21%","1.10B","352.82K"
"Procept Biorobotics","PRCT","51.79","-0.38%","2.64B","725.91K"
"Porch Group","PRCH","3.26","-2.69%","318.16M","529.91K"
"Praxis Precision","PRAX","50.78","-3.11%","840.76M","271.45K"
"PRA Group Inc","PRAA","24.04","7.75%","943.50M","222.37K"
"Papaya Growth Opportunity Unt","PPYAU","11.25","0.00%","91.79M","0.00"
"Papaya Growth Opportunity","PPYA","11.14","0.00%","91.79M","0.00"
"Perpetua Resources","PPTA","6.14","-0.97%","388.09M","211.09K"
"Pioneer Pow","PPSI","3.68","-2.90%","36.54M","166.38K"
"Perma-Pipe Int","PPIH","7.33","0.41%","59.67M","4.24K"
"PHP Ventures Acquisition","PPHPU","11.20","0.00%","28.75M","0.00"
"PHP Ventures Acquisition","PPHP","11.07","0.00%","28.75M","0.00"
"Pilgrims Pride","PPC","35.28","-0.82%","8.36B","583.25K"
"Purple Biotech ADR","PPBT","0.43","5.39%","13.13M","279.54K"
"Pacific Premier","PPBI","21.24","-0.14%","2.04B","417.85K"
"Ammo","POWWP","25.89","0.94%","293.09M","1.38K"
"Ammo","POWW","2.47","0.41%","293.09M","464.29K"
"Powell Ind.","POWL","123.44","-1.56%","1.48B","164.35K"
"Power Integrat","POWI","65.59","-1.87%","3.73B","260.48K"
"Pool Corp","POOL","364.15","-1.58%","14.01B","315.47K"
"Polar Power","POLA","0.40","-0.82%","7.04M","23.93K"
"POET Technologies","POET","1.06","-4.50%","51.20M","26.12K"
"Insulet Corp","PODD","166.26","-3.73%","11.64B","672.98K"
"Podcastone","PODC","2.07","-5.05%","47.92M","9.80K"
"Precision Optics","POCI","5.50","0.18%","33.44M","2.01K"
"Predictive Oncology","POAI","1.39","-4.14%","5.28M","14.54K"
"Pennant Group","PNTG","20.01","0.00%","601.02M","106.71K"
"PrimeEnergy Corp","PNRG","102.23","2.83%","183.02M","2.06K"
"Pinnacle Fin.","PNFP","78.33","-0.79%","5.98B","208.71K"
"Patriot National Bancorp","PNBK","3.65","-1.73%","14.51M","14.00"
"Pmv Pharma","PMVP","1.61","0.62%","82.82M","275.54K"
"CPI Card","PMTS","18.05","3.56%","205.79M","25.92K"
"ProMIS Neurosciences","PMN","1.86","-6.53%","34.45M","30.04K"
"Priveterra Acquisition  II","PMGM","11.21","0.00%","98.89M","0.00"
"Primech Holdings","PMEC","0.64","3.23%","22.76M","528.80K"
"Psychemedics Corp","PMD","2.60","2.36%","14.75M","885.00"
"PharmaCyte Biotech","PMCB","2.12","-1.40%","17.92M","8.82K"
"Playa Hotels & Resorts","PLYA","9.00","-1.96%","1.21B","301.51K"
"Plexus Corp","PLXS","93.68","-1.31%","2.59B","73.53K"
"ePlus Inc","PLUS","75.43","-1.54%","2.01B","164.78K"
"Pluri Inc","PLUR","5.17","-10.24%","25.93M","57.61K"
"플러그파워","PLUG","2.73","1.11%","1.87B","22.16M"
"Plutonian Acquisition Unt","PLTNU","10.98","0.00%","54.11M","0.00"
"Plutonian Acquisition","PLTN","10.82","0.00%","54.11M","14.36K"
"플레이티카 홀딩스","PLTK","6.90","0.29%","2.56B","797.18K"
"펄스 바이오","PLSE","7.47","-3.98%","411.93M","149.67K"
"Pliant","PLRX","12.86","-3.02%","774.68M","253.35K"
"PLPC","PLPC","122.52","-0.48%","603.67M","14.38K"
"Palomar","PLMR","76.90","0.56%","1.92B","136.76K"
"Plum Acquisition III  Unt","PLMJU","10.57","0.00%","241.85M","160.00"
"Plum Acquisition III","PLMJ","10.68","0.28%","241.85M","337.00"
"Plum Acquisition I","PLMIU","10.71","0.00%","123.36M","0.00"
"Plum Acquisition I","PLMI","11.12","0.18%","123.36M","29.96K"
"Piedmont Lithium ADR","PLL","13.51","0.60%","268.51M","904.47K"
"Children’s Place","PLCE","8.28","16.46%","103.31M","14.04M"
"Plby Group","PLBY","0.91","-0.66%","66.03M","192.87K"
"Plumas Bancorp","PLBC","35.26","0.94%","207.84M","15.51K"
"Dave & Buster's Entertainment","PLAY","53.82","-0.90%","2.17B","990.93K"
"Patria Latin American Oppo Acq Corp","PLAOU","11.16","0.00%","256.40M","0.00"
"Patria Latin American Opportunity","PLAO","11.33","0.09%","256.40M","61.49K"
"Photronics","PLAB","26.52","-2.28%","1.68B","290.58K"
"Park Ohio Holdings","PKOH","23.31","-3.44%","287.29M","9.83K"
"Parke Bancorp","PKBK","16.18","0.50%","193.49M","15.68K"
"ShiftPixy","PIXY","1.92","7.26%","11.50M","219.87K"
"Pieris Pharmaceuticals Inc","PIRS","0.16","-4.21%","15.54M","620.67K"
"Premier Inc","PINC","20.64","-0.29%","2.47B","1.02M"
"Kidpik","PIK","4.22","15.30%","8.24M","1.09M"
"P3 Health Partners","PIII","0.50","5.98%","157.98M","468.42K"
"Impinj","PI","120.09","-1.07%","3.32B","324.90K"
"Pharvaris NV","PHVS","21.20","0.95%","1.14B","327.31K"
"Phunware","PHUN","6.00","-5.96%","48.16M","414.00K"
"Phio Pharma","PHIO","0.64","-1.94%","2.98M","39.71K"
"Phathom Pharma","PHAT","9.80","-2.29%","573.54M","424.05K"
"Pharming Group","PHAR","10.17","0.00%","690.43M","9.82K"
"Pagaya","PGY","10.34","4.87%","728.76M","989.01K"
"Progyny","PGNY","32.75","-1.92%","3.15B","628.18K"
"Precigen","PGEN","1.31","-3.68%","326.08M","803.69K"
"Peapack-Gladst.","PGC","22.94","-0.04%","400.90M","65.14K"
"Phenixfin","PFX","43.80","1.46%","89.18M","1.44K"
"Perception Cap III Unt","PFTAU","10.70","0.00%","346.56M","0.00"
"Perception Cap III A","PFTA","10.77","0.28%","326.16M","1.87K"
"Performant Financial Corp","PFMT","2.61","2.35%","200.76M","154.12K"
"Peoples Fin","PFIS","37.04","-0.51%","261.46M","12.22K"
"Profire Ene","PFIE","1.74","-3.33%","81.94M","104.88K"
"Principal Financial","PFG","78.48","0.29%","18.45B","916.36K"
"Premier Financial","PFC","19.04","-0.31%","681.70M","100.62K"
"Preferred Bank","PFBC","71.53","-1.09%","983.77M","51.27K"
"Phoenix Motor","PEV","0.70","-3.11%","24.28M","37.89K"
"TDH Holdings","PETZ","1.13","-5.83%","11.97M","10.81K"
"PetMed Express","PETS","4.22","1.20%","86.07M","565.10K"
"PetIQ","PETQ","15.93","-1.67%","468.84M","222.09K"
"Wag!","PET","2.12","2.42%","85.53M","77.00K"
"Perma-Fix Environ","PESI","10.81","-3.48%","147.78M","29.88K"
"Perion Network","PERI","11.63","-2.19%","565.49M","945.43K"
"PepGen","PEPG","11.50","-8.66%","372.48M","80.99K"
"펩시코","PEP","169.48","1.18%","232.95B","3.84M"
"펜 엔터테인먼트","PENN","16.26","-1.69%","2.43B","5.36M"
"Pineapple Holdings","PEGY","0.05","-1.26%","3.01M","5.25M"
"Project Energy Reimagined Acquisition Unt","PEGRU","9.81","0.00%","159.01M","0.00"
"Project Energy Reimagined Acquisition","PEGR","9.10","-6.19%","159.01M","22.85K"
"Pegasystems Inc","PEGA","58.94","0.37%","4.95B","370.30K"
"Phillips Edison Co","PECO","32.02","-1.11%","4.36B","459.36K"
"Peoples Bancorp","PEBO","27.21","0.15%","950.90M","53.47K"
"Peoples Bancorp","PEBK","27.55","0.25%","150.31M","9.05K"
"Palladyne AI","PDYN","1.59","-1.85%","41.15M","178.51K"
"PDS Biotech","PDSB","2.72","-2.86%","99.77M","610.56K"
"Ponce Financial","PDLB","7.98","-0.25%","178.39M","9.94K"
"PDF Solutions","PDFS","31.28","-2.04%","1.21B","90.47K"
"Pro-Dex","PDEX","18.19","-2.20%","64.12M","5.69K"
"PDD Holdings DRC","PDD","113.43","-0.08%","150.70B","4.29M"
"패터슨 덴탈","PDCO","25.73","0.39%","2.31B","544.60K"
"Pure Cycle Corp","PCYO","9.37","-1.78%","225.71M","40.86K"
"백스사이트","PCVX","62.43","0.31%","6.79B","673.17K"
"Paylocity Holdng","PCTY","156.88","-1.33%","8.84B","275.20K"
"Purecycle Technologies Holdings","PCTTU","6.81","0.00%","845.24M","0.00"
"Purecycle Technologies Holdings","PCT","5.14","-1.34%","845.24M","1.58M"
"Processa Pharmaceuticals","PCSA","1.66","7.79%","4.74M","74.63K"
"Pacira Pharma","PCRX","26.77","-0.37%","1.24B","394.36K"
"PotlatchDeltic","PCH","41.17","-2.95%","3.27B","483.66K"
"PCB Bancorp","PCB","15.22","0.79%","216.46M","12.96K"
"파카","PCAR","115.93","-1.37%","60.75B","2.12M"
"Puma Biotech","PBYI","5.17","1.37%","249.23M","247.08K"
"Potbelly Co","PBPB","10.10","-1.08%","299.80M","285.92K"
"Psyence Biomedical","PBM","0.68","-1.11%","9.13M","43.28K"
"Pathfinder Bancorp","PBHC","12.10","1.34%","74.44M","647.00"
"Pioneer Bancorp","PBFS","8.95","1.02%","225.66M","4.21K"
"PB Bankshares","PBBK","11.90","-0.92%","29.11M","3.27K"
"페이첵스","PAYX","119.14","-1.65%","42.89B","2.19M"
"Paysign","PAYS","4.24","-1.85%","224.59M","170.93K"
"Payoneer Global Inc","PAYO","4.85","0.62%","1.75B","1.35M"
"패트리아 인베스트먼트","PAX","13.47","0.52%","2.02B","256.40K"
"Paranovus Entertainment Tech","PAVS","1.09","-0.91%","8.36M","1.47K"
"PAVmed","PAVM","1.97","5.35%","18.07M","30.58K"
"Patrick Ind.","PATK","104.20","-0.65%","2.33B","93.52K"
"Passage Bio","PASG","1.27","2.42%","78.25M","57.05K"
"Paramount Global A","PARAA","20.81","0.14%","7.49B","19.01K"
"파라마운트 글로벌 B","PARA","10.81","3.64%","7.49B","10.19M"
"팔로 알토 네트웍스","PANW","277.33","0.84%","89.49B","3.12M"
"Pangaea Logistic","PANL","6.59","1.07%","307.89M","281.04K"
"Paltalk Inc","PALT","3.82","-0.78%","35.14M","11.55K"
"Palisade Bio","PALI","6.60","11.30%","5.62M","1.55M"
"Phibro","PAHC","12.87","-0.92%","521.28M","94.80K"
"Plains GP Holdings","PAGP","18.27","0.16%","4.25B","1.23M"
"Pacific Biosci","PACB","1.40","0.00%","381.19M","34.91M"
"Plains All American Pipeline","PAA","17.36","0.58%","12.17B","4.00M"
"Bank Ozk Prf A","OZKAP","16.19","-0.86%","4.73B","24.86K"
"Bank Ozk","OZK","41.82","0.10%","4.73B","1.44M"
"Oxford Square","OXSQ","3.13","0.97%","186.77M","136.09K"
"Oxford Lane","OXLCP","23.35","0.17%","5.38B","744.00"
"Oxford Lane Capital Pref 9","OXLCO","22.23","1.12%","1.16B","3.41K"
"Oxford Lane Capital 7 Prf","OXLCN","23.42","-0.13%","1.16B","1.86K"
"Oxford Lane Pref","OXLCM","24.92","-0.04%","1.16B","1.49K"
"Oxford Lane","OXLC","5.02","0.00%","1.16B","1.23M"
"Oxbridge Re Holdings Equity Warrant","OXBRW","0.04","0.00%","6.13M","0.00"
"옥스브릿지 리 홀딩스","OXBR","1.02","0.99%","6.13M","6.96K"
"Oak Valley Bancorp","OVLY","23.37","0.52%","193.19M","5.30K"
"Ovid Therapeutics","OVID","3.11","-1.89%","219.91M","160.30K"
"Ohio Valley Banc","OVBC","23.65","-0.84%","113.37M","269.00"
"Otter Tail Corp","OTTR","82.13","-1.17%","3.43B","119.14K"
"Ontrak","OTRK","0.37","-20.57%","15.53M","3.25M"
"오틀리 그룹","OTLY","0.91","0.99%","543.65M","898.29K"
"OUTLOOK THERAPEUTICS","OTLK","8.61","-1.60%","191.99M","266.35K"
"Open Text","OTEX","34.60","0.38%","9.28B","424.68K"
"OneSpaWorld","OSW","12.15","-1.94%","1.22B","435.64K"
"OraSure Tech","OSUR","5.25","0.57%","401.68M","1.02M"
"Ostin Technology","OST","0.41","-3.27%","6.91M","18.19K"
"원스탑시스템","OSS","2.96","1.02%","61.78M","43.39K"
"Onespan","OSPN","9.86","-0.40%","372.61M","225.89K"
"OSI Systems","OSIS","134.75","-1.86%","2.30B","55.78K"
"Old Second Bancorp","OSBC","13.44","0.98%","602.13M","145.16K"
"ProSomnus","OSA","0.47","-7.35%","8.18M","58.85K"
"Orrstown Financial","ORRF","25.11","0.08%","268.71M","27.77K"
"Oramed","ORMP","2.33","-2.92%","94.41M","148.97K"
"오릴리 오토모티브","ORLY","1.09K","0.49%","64.62B","276.43K"
"Oric Pharma","ORIC","9.76","3.28%","657.59M","486.27K"
"Orgenesis","ORGS","0.49","-1.00%","17.38M","76.93K"
"Organogenesis","ORGO","2.79","-2.45%","368.18M","327.61K"
"Origin Materials Wnt","ORGNW","0.04","-11.11%","81.10M","753.00"
"Origin Materials","ORGN","0.57","-3.67%","81.10M","1.51M"
"Optex Systems Holdings","OPXS","6.93","-2.53%","46.59M","5.64K"
"Syntec Optics Holdings","OPTX","3.02","-4.73%","206.91M","5.17K"
"OptiNose","OPTN","1.02","-6.42%","114.90M","457.53K"
"Opthea","OPT","3.42","-2.56%","273.56M","1.52K"
"OPTIMIZERx","OPRX","9.53","-4.32%","173.29M","136.80K"
"Oportun Financial","OPRT","2.13","-2.74%","73.61M","195.63K"
"Opera","OPRA","14.52","-3.39%","1.27B","623.21K"
"Old Point Financial","OPOF","14.70","0.62%","73.89M","402.00"
"Opko Health","OPK","1.25","3.31%","871.24M","3.51M"
"Office Properties","OPI","1.89","-1.05%","92.15M","662.29K"
"Opti-Harvest Unt","OPHV","-","%","-","-"
"OptimumBank Holdings","OPHC","4.11","0.74%","39.20M","1.17K"
"OpGen","OPGN","0.60","-6.89%","7.21M","129.75K"
"Opendoor Tech","OPEN","2.16","0.00%","1.47B","12.21M"
"Option Care Health","OPCH","30.27","-3.35%","5.26B","984.85K"
"OP Bancorp","OPBK","8.98","0.45%","134.31M","17.27K"
"Opal Fuels","OPAL","4.73","-0.21%","815.84M","31.95K"
"Oceanpal","OP","2.52","-0.79%","18.78M","10.42K"
"Onyx Acquisition Co I Unt","ONYXU","11.67","0.00%","88.27M","0.00"
"Onyx Acquisition I","ONYX","11.15","0.36%","88.27M","120.00"
