종목명,기호,종가,변동 %,시가 총액,거래량
"에코프로비엠","247540","229.00K","6.51%","21.00T","571.78K"
"에코프로","086520","517.00K","0.00%","13.62T","0.00"
"HLB","028300","97.10K","4.18%","12.17T","1.26M"
"알테오젠","196170","174.70K","8.64%","8.52T","1.18M"
"엔켐","348370","315.50K","4.64%","5.73T","456.77K"
"리노공업","058470","268.50K","0.56%","4.03T","105.83K"
"셀트리온제약","068760","92.10K","4.90%","3.64T","112.21K"
"HPSP","403870","44.05K","3.89%","3.52T","1.41M"
"레인보우로보틱스","277810","171.10K","2.58%","3.24T","110.80K"
"이오테크닉스","039030","243.50K","-0.20%","2.95T","153.34K"
"신성델타테크","065350","91.60K","2.12%","2.44T","367.23K"
"클래시스","214150","39.25K","3.29%","2.40T","455.43K"
"동진쎄미켐","005290","46.25K","0.22%","2.37T","763.68K"
"솔브레인","357780","302.00K","-0.33%","2.35T","26.35K"
"휴젤","145020","200.50K","0.60%","2.18T","32.32K"
"삼천당제약","000250","104.00K","9.01%","2.17T","1.67M"
"JYP Ent.","035900","64.60K","3.19%","2.07T","216.89K"
"ISC","095340","91.90K","0.66%","1.87T","255.36K"
"원익IPS","240810","37.25K","0.54%","1.77T","392.30K"
"에스엠","041510","76.70K","2.27%","1.74T","64.49K"
"에이치엘비생명과학","067630","16.66K","2.40%","1.74T","509.22K"
"카카오게임즈","293490","20.75K","0.00%","1.70T","132.67K"
"펄어비스","263750","27.80K","2.21%","1.67T","100.91K"
"레고켐바이오","141080","62.00K","5.44%","1.65T","396.48K"
"주성엔지니어링","036930","34.70K","0.73%","1.64T","587.89K"
"LS머트리얼즈","417200","25.20K","5.44%","1.62T","975.75K"
"위메이드","112040","48.25K","1.79%","1.59T","413.60K"
"티씨케이","064760","136.30K","-0.15%","1.59T","57.21K"
"에스티팜","237690","83.30K","2.97%","1.53T","88.79K"
"CJ ENM","035760","74.10K","0.27%","1.53T","50.53K"
"루닛","328130","50.80K","1.20%","1.44T","227.43K"
"레이크머티리얼즈","281740","22.20K","1.83%","1.43T","633.35K"
"하나마이크론","067310","29.15K","0.87%","1.37T","1.97M"
"테크윙","089030","38.30K","2.96%","1.33T","1.26M"
"나노신소재","121600","115.10K","3.41%","1.33T","58.11K"
"파마리서치","214450","127.10K","-0.70%","1.31T","227.66K"
"대주전자재료","078600","90.40K","3.31%","1.29T","99.75K"
"파라다이스","034230","15.02K","1.14%","1.28T","416.18K"
"스튜디오드래곤","253450","40.75K","0.99%","1.21T","27.66K"
"제이앤티씨","204270","22.65K","8.37%","1.19T","12.28M"
"아프리카TV","067160","114.30K","4.00%","1.18T","64.11K"
"유진테크","084370","51.20K","-1.73%","1.16T","217.15K"
"고영","098460","18.03K","2.04%","1.16T","438.20K"
"하나머티리얼즈","166090","56.20K","-0.88%","1.12T","218.50K"
"파크시스템스","140860","159.00K","-1.18%","1.11T","30.12K"
"가온칩스","399720","101.10K","4.44%","1.11T","292.57K"
"오스코텍","039200","28.65K","0.53%","1.09T","233.44K"
"메지온","140410","36.85K","0.96%","1.08T","69.11K"
"동화기업","025900","56.30K","0.00%","1.03T","0.00"
"에이비엘바이오","298380","22.60K","5.12%","1.03T","363.98K"
"피에스케이","031980","52.10K","9.92%","1.02T","1.11M"
"파두","440110","20.20K","-2.65%","1.02T","1.09M"
"더블유씨피","393890","31.30K","4.33%","1.01T","210.67K"
"에코프로에이치엔","383310","68.10K","2.87%","1.01T","118.48K"
"솔브레인홀딩스","036830","49.15K","0.92%","1.01T","111.24K"
"케어젠","214370","20.30K","1.25%","985.14B","59.33K"
"HK이노엔","195940","36.50K","5.64%","978.80B","170.76K"
"원텍","336570","11.20K","1.63%","971.63B","1.67M"
"씨젠","096530","21.55K","2.62%","966.93B","130.73K"
"에스앤에스텍","101490","45.55K","0.00%","957.93B","207.88K"
"심텍","222800","30.25K","2.20%","942.64B","128.78K"
"SFA반도체","036540","5.85K","2.27%","937.88B","759.23K"
"PSK","319660","33.25K","2.78%","937.07B","429.41K"
"HLB테라퓨틱스","115450","12.37K","0.49%","923.81B","1.07M"
"덕산네오룩스","213420","37.25K","-0.53%","919.88B","72.75K"
"차바이오텍","085660","16.83K","3.25%","917.93B","394.20K"
"국일제지","078130","800.00","0.00%","901.92B","0.00"
"기가비스","420770","72.00K","1.27%","901.25B","126.63K"
"코미코","183300","88.80K","3.74%","888.60B","247.39K"
"성일하이텍","365340","75.20K","3.01%","883.66B","21.11K"
"제이시스메디칼","287410","11.80K","0.85%","882.54B","4.30M"
"서진시스템","178320","23.75K","1.28%","870.25B","265.28K"
"원익QnC","074600","33.15K","0.91%","863.56B","334.43K"
"메디톡스","086900","132.20K","3.20%","862.14B","26.29K"
"People Tech MS","257370","9.21K","0.00%","859.79B","0.00"
"피엔티","137400","39.40K","1.94%","859.79B","73.91K"
"넥슨게임즈","225570","12.96K","1.01%","819.10B","74.46K"
"에스에프에이","056190","25.40K","1.80%","816.30B","52.34K"
"씨앤씨인터내셔널","352480","83.50K","4.11%","801.77B","96.57K"
"코오롱티슈진","950160","10.70K","0.56%","790.29B","149.31K"
"현대바이오","048410","19.92K","1.07%","784.82B","116.75K"
"포스코엠텍","009520","19.75K","5.61%","778.72B","1.50M"
