종목명,기호,종가,변동 %,시가 총액,거래량,섹터
우리기술투자,041190,8.72K,-0.80%,684.49B,2.98M,금융
다우데이타,032190,11.52K,0.52%,438.92B,34.47K,금융
아주IB투자,027360,2.68K,2.49%,309.38B,364.37K,금융
미래에셋벤처투자,100790,5.48K,0.37%,290.04B,95.92K,금융
인카금융서비스,211050,24.50K,0.00%,241.60B,0.00,금융
이베스트투자증권,078020,4.49K,2.51%,220.78B,40.20K,금융
한국캐피탈,023760,599.00,1.01%,185.38B,96.64K,금융
상상인,038540,3.25K,1.72%,174.84B,19.47K,금융
리파인,377450,9.92K,0.20%,156.53B,35.47K,금융
에이티넘인베스트,021080,2.83K,1.43%,131.35B,66.47K,금융
SBI인베스트먼트,019550,833.00,4.13%,128.91B,390.36K,금융
푸른저축은행,007330,9.60K,-6.43%,122.01B,311.43K,금융
대성창투,027830,1.98K,1.02%,105.79B,242.75K,금융
엠벤처투자,019590,918.00,0.00%,104.96B,0.00,금융
SV인베스트먼트,289080,2.02K,2.74%,104.92B,336.89K,금융
DSC인베스트먼트,241520,3.83K,2.54%,99.04B,112.07K,금융
컴퍼니케이,307930,6.61K,4.26%,98.97B,204.50K,금융
나우IB,293580,1.05K,0.19%,98.51B,270.13K,금융
LB인베스트먼트,309960,4.10K,0.24%,94.05B,20.37K,금융
스톤브릿지벤처스,330730,4.58K,1.89%,81.68B,130.94K,금융
아이디스홀딩스,054800,10.28K,0.78%,80.80B,1.17K,금융
웨이버스,336060,1.41K,0.93%,67.42B,74.01K,금융
지니틱스,303030,1.86K,1.36%,65.63B,201.60K,금융
린드먼아시아,277070,5.10K,3.03%,63.86B,229.14K,금융
아이에스이커머스,069920,2.48K,0.00%,63.58B,44.49K,금융
캡스톤파트너스,452300,4.24K,1.68%,58.36B,155.61K,금융
큐캐피탈,016600,309.00,0.32%,53.75B,183.74K,금융
엔에이치스팩20호,391060,10.44K,0.19%,53.14B,43.63K,금융
메이슨캐피탈,021880,331.00,-1.78%,51.29B,379.24K,금융
TS인베스트먼트,246690,1.26K,0.80%,51.16B,29.83K,금융
Valofe,331520,752.00,0.40%,38.10B,102.48K,금융
리더스 기술투자,019570,700.00,-2.78%,37.77B,343.65K,금융
코리아에셋투자증권,190650,5.37K,3.27%,33.22B,3.89K,금융
엔에이치스팩29호,451700,2.02K,0.00%,28.92B,21.82K,금융
유진스팩8호,413630,4.42K,1.96%,25.63B,53.43K,금융
케이비제22호스팩,436530,4.76K,0.00%,24.85B,0.00,금융
케이엠제약,225430,808.00,-0.74%,22.70B,50.92K,금융
신영스팩7호,419270,5.20K,0.00%,22.39B,0.00,금융
유안타제13호스팩,449020,2.04K,0.49%,19.70B,2.76K,금융
신한제9호스팩,405640,4.25K,1.43%,19.00B,55.83K,금융
하나금융24호스팩,430230,2.36K,0.00%,18.89B,0.00,금융
신영스팩8호,430220,2.49K,-0.40%,16.90B,20.39K,금융
엔에이치스팩27호,440820,2.10K,0.24%,16.34B,787.00,금융
케이비제21호스팩,424140,2.09K,0.24%,16.08B,9.58K,금융
교보12호스팩,421800,2.67K,0.00%,15.94B,0.00,금융
하나금융21호스팩,406760,2.13K,0.00%,15.82B,0.00,금융
대신밸런스제14호스팩,442310,2.33K,0.43%,15.53B,378.00,금융
엔에이치스팩23호,422040,2.13K,0.00%,15.25B,7.38K,금융
신한제8호스팩,393360,2.06K,0.00%,15.18B,0.00,금융
한국제11호스팩,436610,2.28K,0.00%,13.73B,0.00,금융
미래에셋비전스팩1호,412930,2.21K,0.23%,13.59B,17.75K,금융
하나금융25호스팩,435620,9.98K,0.10%,13.25B,60.50K,금융
대신밸런스제13호스팩,438220,2.27K,0.00%,12.83B,0.00,금융
한화플러스제3호스팩,430460,2.17K,0.23%,12.82B,2.25K,금융
유안타제9호스팩,430700,2.38K,-0.42%,12.55B,15.06K,금융
유안타제10호스팩,435380,2.17K,0.23%,12.41B,5.13K,금융
삼성스팩6호,425290,2.23K,0.00%,12.34B,15.96K,금융
Shinyoung HappyTomorrow No 9,445970,2.29K,-0.22%,12.27B,1.25K,금융
유진스팩7호,388800,2.44K,0.00%,12.22B,0.00,금융
하나금융22호스팩,418170,2.21K,0.00%,12.20B,1.49K,금융
에스케이증권제10호스팩,457940,2.40K,-0.62%,12.10B,3.26K,금융
Hana 31,469900,2.09K,0.00%,11.71B,13.30K,금융
