Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930.KS,KR7005930003,삼성전자,KOSPI,,83700,2,-400,-0.48,84700,84900,83200,17022854,1426434925952,499670799435000,5969782550,STK
000660.KS,KR7000660001,SK하이닉스,KOSPI,,187400,2,-1000,-0.53,188700,191400,187000,3093218,584760253652,136427643201000,728002365,STK
373220.KS,KR7373220003,LG에너지솔루션,KOSPI,,371500,2,-8500,-2.24,380000,381500,371500,172144,64595233500,86931000000000,234000000,STK
005935.KS,KR7005931001,삼성전자우,KOSPI,,69100,2,-100,-0.14,69900,69900,68600,1007787,69702465577,56861470970000,822886700,STK
207940.KS,KR7207940008,삼성바이오로직스,KOSPI,,790000,2,-5000,-0.63,795000,801000,787000,41162,32566062000,56227460000000,71174000,STK
005380.KS,KR7005380001,현대차,KOSPI,,238000,2,-3000,-1.24,241000,241500,237000,994949,237847040500,50344498428000,211531506,STK
000270.KS,KR7000270009,기아,KOSPI,,109800,2,-1900,-1.7,111500,111700,108000,1221680,134225079900,44144453489400,402044203,STK
068270.KS,KR7068270008,셀트리온,KOSPI,,182200,1,2700,1.5,179400,183300,178100,474827,85942136800,39728666636400,218049762,STK
005490.KS,KR7005490008,POSCO홀딩스,KOSPI,,395000,2,-5000,-1.25,404500,405000,394500,318909,126746604500,33405635850000,84571230,STK
035420.KS,KR7035420009,NAVER,KOSPI,,185900,1,2300,1.25,184700,189300,184600,833894,156068788600,30191757624600,162408594,STK
051910.KS,KR7051910008,LG화학,KOSPI,,393000,1,6000,1.55,391500,402500,387000,259725,102703558000,27742790799000,70592343,STK
006400.KS,KR7006400006,삼성SDI,KOSPI,,401000,2,-6500,-1.6,410000,411000,401000,264352,106921987000,27574576530000,68764530,STK
105560.KS,KR7105560007,KB금융,KOSPI,,66300,2,-2000,-2.93,67400,67400,65400,1759980,116599112300,26752784073600,403511072,STK
028260.KS,KR7028260008,삼성물산,KOSPI,,140100,2,-6900,-4.69,145100,145500,139500,615411,86876779000,26001392967000,185591670,STK
012330.KS,KR7012330007,현대모비스,KOSPI,,240500,2,-10500,-4.18,246000,248500,240500,199014,48234216000,22524050107000,93655094,STK
247540.KQ,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,228500,2,-10500,-4.39,240500,240500,228000,545334,126535096000,22347607104000,97801344,KSQ
055550.KS,KR7055550008,신한지주,KOSPI,,41850,2,-1250,-2.9,42650,43100,41300,2559361,107111720050,21318106005900,509393214,STK
035720.KS,KR7035720002,카카오,KOSPI,,47850,2,-200,-0.42,48050,48450,47650,944399,45331542500,21304919992950,445243887,STK
003670.KS,KR7003670007,포스코퓨처엠,KOSPI,,268000,2,-14500,-5.13,283000,283000,268000,372722,101645339000,20760142960000,77463220,STK
032830.KS,KR7032830002,삼성생명,KOSPI,,81100,2,-3900,-4.59,85100,85200,80300,642438,52592365200,16220000000000,200000000,STK
086790.KS,KR7086790003,하나금융지주,KOSPI,,55000,2,-3000,-5.17,57500,57500,54800,1817523,101026951700,16079612890000,292356598,STK
066570.KS,KR7066570003,LG전자,KOSPI,,93500,2,-2900,-3.01,96100,96100,93400,907832,85363528600,15301070609000,163647814,STK
138040.KS,KR7138040001,메리츠금융지주,KOSPI,,78200,2,-2500,-3.1,80600,81500,76700,718637,56427905700,15223281114800,194671114,STK
042700.KS,KR7042700005,한미반도체,KOSPI,,145500,1,3800,2.68,149700,153200,145300,4317067,644172176900,14162868441000,97339302,STK
086520.KQ,KR7086520004,에코프로,KOSDAQ,우량기업부,517000,0,0,0.0,0,0,0,0,0,13766504356000,26627668,KSQ
000810.KS,KR7000810002,삼성화재,KOSPI,,288500,2,-6500,-2.2,291000,291500,280500,158677,45427460000,13667640474500,47374837,STK
015760.KS,KR7015760002,한국전력,KOSPI,,20200,2,-1100,-5.16,21250,21250,20100,4144058,84822237950,12967674355400,641964077,STK
003550.KS,KR7003550001,LG,KOSPI,,77600,2,-2000,-2.51,78900,80100,77400,421632,32862303200,12206557056800,157300993,STK
028300.KQ,KR7028300002,HLB,KOSDAQ,중견기업부,93000,1,2500,2.76,90700,93800,89200,1313954,119712374400,12167223852000,130830364,KSQ
323410.KS,KR7323410001,카카오뱅크,KOSPI,,24850,2,-1300,-4.97,25750,25900,24800,1144486,28661649450,11851490254450,476921137,STK
034730.KS,KR7034730002,SK,KOSPI,,161400,2,-1200,-0.74,161000,163600,159100,124346,20060555400,11814210300600,73198329,STK
009150.KS,KR7009150004,삼성전기,KOSPI,,157700,1,1200,0.77,158100,160200,155800,418960,66235528400,11779195859200,74693696,STK
018260.KS,KR7018260000,삼성에스디에스,KOSPI,,151400,1,300,0.2,149500,152000,148200,100062,15066395800,11714998920000,77377800,STK
259960.KS,KR7259960003,크래프톤,KOSPI,,238500,2,-9000,-3.64,244500,247000,237000,86581,20893542000,11534931580500,48364493,STK
033780.KS,KR7033780008,KT&G,KOSPI,,88300,2,-2200,-2.43,89600,89700,88000,297830,26389400200,11507476485100,130322497,STK
012450.KS,KR7012450003,한화에어로스페이스,KOSPI,,217000,1,3000,1.4,216000,222000,213500,468878,101421640000,10986710000000,50630000,STK
