종목코드,시가총액,거래소,섹터
coo,18742600000.0,NASDAQ,헬스케어
wmg,18467500000.0,NASDAQ,소비순환재
hban,18419500000.0,NASDAQ,금융
fslr,18407100000.0,NASDAQ,에너지
ntap,18163700000.0,NASDAQ,기술
bmrn,18162500000.0,NASDAQ,헬스케어
enph,18043900000.0,NASDAQ,에너지
entg,17992000000.0,NASDAQ,기술
swks,17982100000.0,NASDAQ,기술
stx,17858000000.0,NASDAQ,기술
akam,17850900000.0,NASDAQ,기술
chkp,17723600000.0,NASDAQ,기술
ntrs,17469700000.0,NASDAQ,금융
lpla,17212800000.0,NASDAQ,금융
holx,17148200000.0,NASDAQ,헬스케어
wdc,16980599999.999998,NASDAQ,기술
rprx,16781900000.000002,NASDAQ,헬스케어
ter,16590400000.000002,NASDAQ,기술
dkng,16435000000.0,NASDAQ,소비순환재
cinf,16233700000.0,NASDAQ,금융
erie,15470500000.0,NASDAQ,금융
bsy,15441200000.0,NASDAQ,기술
pool,15421800000.0,NASDAQ,소비순환재
smci,15154900000.0,NASDAQ,기술
podd,15151200000.0,NASDAQ,헬스케어
ssnc,15125700000.0,NASDAQ,기술
ndsn,15061400000.0,NASDAQ,산업
okta,14968700000.0,NASDAQ,기술
logi,14903800000.0,NASDAQ,기술
fwona,14835550000.0,NASDAQ,소비순환재
fwonk,14835550000.0,NASDAQ,소비순환재
afrm,14827200000.0,NASDAQ,기술
nws,14719556000.0,NASDAQ,소비순환재
cg,14680800000.0,NASDAQ,금융
gen,14621100000.0,NASDAQ,기술
xp,14612700000.0,NASDAQ,금융
foxa,14324900000.0,NASDAQ,소비순환재
incy,14071800000.0,NASDAQ,헬스케어
nwsa,14043900000.0,NASDAQ,소비순환재
zbra,14038100000.0,NASDAQ,기술
azpn,14023400000.0,NASDAQ,기술
hst,13734900000.0,NASDAQ,부동산
ual,13533900000.0,NASDAQ,산업
z,13498448700.0,NASDAQ,부동산
app,13381700000.0,NASDAQ,기술
exas,13379300000.0,NASDAQ,헬스케어
tpg,13350300000.0,NASDAQ,금융
fox,13299650000.0,NASDAQ,소비순환재
manh,13256200000.0,NASDAQ,기술
zg,13250000000.0,NASDAQ,부동산
flex,13245700000.0,NASDAQ,기술
trmb,13234400000.0,NASDAQ,기술
